Stance_Phase,vGRF
0.0,0.0
1.0101010101010102,0.021212121212121213
2.0202020202020203,0.04242424242424243
3.0303030303030303,0.06363636363636364
4.040404040404041,0.08484848484848487
5.050505050505051,0.11212121212121215
6.0606060606060606,0.15454545454545457
7.070707070707071,0.19696969696969702
8.080808080808081,0.27878787878787886
9.090909090909092,0.36363636363636376
10.101010101010102,0.4484848484848486
11.111111111111112,0.5333333333333334
12.121212121212121,0.6181818181818182
13.131313131313131,0.7030303030303031
14.141414141414142,0.7878787878787881
15.151515151515152,0.8727272727272728
16.161616161616163,0.9575757575757576
17.171717171717173,1.0106060606060607
18.181818181818183,1.031818181818182
19.191919191919194,1.051818181818182
20.202020202020204,1.0645454545454547
21.212121212121215,1.0772727272727274
22.222222222222225,1.0733333333333335
23.232323232323235,1.064848484848485
24.242424242424242,1.0527272727272727
25.252525252525253,1.0357575757575759
26.262626262626263,1.0178787878787878
27.272727272727273,0.9881818181818182
28.282828282828284,0.9584848484848484
29.292929292929294,0.9348484848484848
30.303030303030305,0.9136363636363636
31.313131313131315,0.8924242424242425
32.323232323232325,0.8712121212121212
33.333333333333336,0.85
34.343434343434346,0.8287878787878787
35.35353535353536,0.8075757575757576
36.36363636363637,0.7945454545454546
37.37373737373738,0.786060606060606
38.38383838383839,0.7775757575757576
39.3939393939394,0.769090909090909
40.40404040404041,0.7606060606060606
41.41414141414142,0.756060606060606
42.42424242424243,0.7518181818181818
43.43434343434344,0.75
44.44444444444445,0.75
45.45454545454546,0.75
46.46464646464647,0.75
47.47474747474748,0.75
48.484848484848484,0.75
49.494949494949495,0.75
50.505050505050505,0.7521212121212121
51.515151515151516,0.7563636363636363
52.525252525252526,0.7606060606060606
53.535353535353536,0.7648484848484849
54.54545454545455,0.7690909090909092
55.55555555555556,0.7733333333333334
56.56565656565657,0.7775757575757576
57.57575757575758,0.7836363636363637
58.58585858585859,0.7921212121212122
59.5959595959596,0.8015151515151516
60.60606060606061,0.8227272727272728
61.61616161616162,0.843939393939394
62.62626262626263,0.8651515151515152
63.63636363636364,0.8863636363636364
64.64646464646465,0.9075757575757576
65.65656565656566,0.9287878787878787
66.66666666666667,0.95
67.67676767676768,0.9712121212121212
68.68686868686869,0.9924242424242424
69.6969696969697,1.0136363636363637
70.70707070707071,1.034848484848485
71.71717171717172,1.0536363636363637
72.72727272727273,1.0663636363636364
73.73737373737374,1.0790909090909093
74.74747474747475,1.0878787878787881
75.75757575757576,1.0963636363636364
76.76767676767678,1.0878787878787877
77.77777777777779,1.0666666666666664
78.7878787878788,1.0454545454545452
79.7979797979798,1.024242424242424
80.80808080808082,1.0030303030303027
81.81818181818183,0.9636363636363631
82.82828282828284,0.9212121212121207
83.83838383838385,0.8787878787878782
84.84848484848486,0.8363636363636358
85.85858585858587,0.7878787878787865
86.86868686868688,0.7030303030303016
87.87878787878789,0.6181818181818166
88.8888888888889,0.5333333333333321
89.89898989898991,0.4484848484848477
90.90909090909092,0.37272727272727235
91.91919191919193,0.30909090909090864
92.92929292929294,0.24545454545454493
93.93939393939395,0.18181818181818127
94.94949494949496,0.11818181818181758
95.95959595959597,0.08484848484848463
96.96969696969697,0.0636363636363637
97.97979797979798,0.04242424242424246
98.98989898989899,0.021212121212121234
100.0,0.0
